# Number of Floors, Lowest Floor, Capacity
15, -1, 8
# Floor Requests
-1: 3, 7, 2, 6, 12, 14, 9, 5, 8, 11, 13, 4
0: 1, 4, 6, 8, 10, 12, 15, 3, 5, 9, 14
1: 2, 5, 7, 10, 13, 3, 6, 9, 12, 15
2: 1, 4, 7, 11, 14, 5, 9, 6, 8, 15
3: 2, 6, 9, 12, 14, 1, 4, 8, 10
4: 3, 5, 7, 10, 13, 15, 2, 6, 8, 11
5: 1, 3, 4, 6, 9, 12, 14, 15, 8, 11
6: 2, 5, 8, 10, 13, 3, 7, 11, 15, 1
7: 1, 4, 6, 9, 12, 14, 2, 8, 11, 15
8: 3, 5, 7, 10, 13, 15, 2, 6, 9, 12
9: 1, 4, 8, 11, 14, 2, 6, 10, 13, 15
10: 2, 5, 7, 9, 12, 14, 1, 4, 8, 11
11: 3, 6, 8, 10, 13, 15, 2, 5, 7, 12
12: 1, 4, 7, 9, 11, 14, 2, 6, 10, 13
13: 3, 5, 8, 10, 12, 15, 1, 4, 7, 9
14: 2, 6, 9, 11, 13, 15, 1, 4, 7, 10
15: 3, 5, 8, 10, 12, 14, 2, 6, 9, 11
